<<,Price
^,1458662400,4.300000
^,1458576000,4.270000
^,1458316800,4.220000
^,1458230400,4.250000
^,1458144000,4.210000
^,1458057600,4.230000
^,1457971200,4.250000
^,1457712000,4.260000
^,1457625600,4.290000
^,1457539200,4.260000
^,1457107200,4.250000
^,1456934400,4.170000
^,1456761600,4.120000
^,1456502400,4.080000
^,1456329600,4.090000
^,1456156800,4.170000
^,1455897600,4.150000
^,1455811200,4.090000
^,1455638400,4.080000
^,1455552000,4.010000
^,1455292800,3.970000
^,1455206400,4.090000
^,1455120000,4.100000
^,1455033600,4.180000
^,1454947200,4.220000
^,1454688000,4.200000
^,1454601600,4.210000
^,1454515200,4.160000
^,1454428800,4.290000
^,1454342400,4.240000
^,1454083200,4.250000
^,1453996800,4.220000
^,1453910400,4.190000
^,1453737600,4.210000
^,1453478400,4.120000
^,1453392000,4.090000
^,1453305600,4.080000
^,1453219200,4.100000
^,1453132800,4.030000
^,1452873600,4.100000
^,1452787200,4.120000
^,1452700800,4.200000
^,1452614400,4.120000
^,1452528000,4.220000
^,1452268800,4.210000
^,1452182400,4.120000
^,1452096000,4.200000
^,1452009600,4.240000
^,1451923200,4.320000
^,1451577600,4.340000
^,1451491200,4.300000
^,1451404800,4.290000
^,1450972800,4.240000
^,1450886400,4.190000
^,1450800000,4.140000
^,1450713600,4.170000
^,1450454400,4.190000
